,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Moderate_Severity(ha),High_Severity(ha)
0,PROCTOR,32.682,-116.886,1984,4,1222.2,691.38,229.86
1,AGUANGA,33.413,-116.873,1984,5,2250.81,1209.42,321.57
2,LOMA RIDGE,33.75,-117.729,1984,6,559.26,267.03,17.82
3,LYTLE,34.285,-117.554,1984,5,988.47,446.58,386.91
4,SQUAW FLAT,34.443,-118.896,1984,10,2447.64,607.32,71.55
5,MESCAL,34.452,-117.726,1984,7,586.17,341.46,0.0
6,BLUE,34.905,-119.286,1984,8,800.82,237.33,58.41
7,TWISSELMAN,35.396,-119.833,1984,8,2430.99,249.48,0.27
8,BODFISH,35.579,-118.388,1984,7,9384.21,3603.6,552.24
9,BLUE RIDGE,36.314,-118.869,1984,8,634.05,68.49,12.15
10,BAR-O,36.406,-118.848,1984,8,1209.15,193.41,25.11
11,BEAR CREEK,36.51,-118.882,1984,10,529.02,116.28,18.99
12,CLARK VALLEY,39.392,-122.451,1984,10,594.9,304.83,6.57
13,BIDWELL,39.784,-121.696,1984,7,2432.25,1151.73,46.08
14,LOWERY,39.981,-122.591,1984,7,1158.93,739.71,178.65
15,SECOND,40.034,-120.14,1984,8,486.09,64.89,0.54
16,TURTLE,40.078,-120.066,1984,7,1610.82,1208.88,0.0
17,BADGER,40.548,-121.407,1984,8,449.73,196.74,115.65
18,TWIN,40.683,-119.994,1984,7,4188.69,2330.73,8.55
19,EAGLE,41.26,-120.12,1984,8,700.83,133.56,15.39
20,RAIL,41.923,-120.65,1984,8,1224.81,419.22,489.78
21,INDIAN,38.817,-119.693,1984,6,1832.31,673.83,495.18
22,MITCHELL CANYON,39.613,-119.996,1984,6,1749.87,604.44,582.66
23,PETERSON,39.774,-119.989,1984,7,124.29,55.62,23.85
24,BOWLES,32.945,-116.935,1984,9,1244.16,1169.55,0.0
25,LOST HORSE,34.023,-116.255,1984,5,1671.57,1500.39,55.35
26,GRIMES FIRE,34.331,-118.964,1984,5,4418.01,3077.55,1230.03
27,SHANNON FIRE,34.552,-118.183,1984,5,1437.93,1431.09,0.0
28,STODDARD 2,34.701,-117.075,1984,5,994.41,983.79,7.83
29,MINUTEMAN,34.807,-120.501,1984,5,1278.81,779.76,489.6
30,BONNHEIM,35.197,-120.394,1984,6,656.55,550.26,15.03
31,MORETZZ,35.253,-120.547,1984,5,641.61,410.94,8.1
32,WOODROW,35.611,-118.446,1984,5,452.34,448.29,0.09
33,FLAT TOP,35.899,-120.134,1984,5,2706.75,996.57,477.09
34,FK 1817,36.074,-120.188,1984,3,592.2,463.32,70.83
35,OIL FIELDS,36.26,-120.317,1984,5,459.09,90.63,0.0
36,BONANZA,36.744,-120.941,1984,6,4899.15,4870.62,1.35
37,PACHECO 2,36.883,-121.158,1984,7,499.14,460.8,0.0
38,COTTONWOOD,37.098,-121.162,1984,5,571.14,495.36,65.25
39,SITE 300 3,37.651,-121.474,1984,6,2794.77,1883.7,401.67
40,SALT SPRING,38.004,-120.647,1984,6,1957.23,1636.56,261.72
41,BRUSHY,40.011,-121.817,1984,9,1131.3,1034.46,9.36
42,MILLER,32.699,-116.927,1985,6,3160.35,553.05,8.91
43,SYCAMORE,32.932,-116.947,1985,7,409.32,99.99,0.45
44,ROBLAR,33.4,-117.342,1985,7,2973.51,1082.07,56.88
45,UNNAMED,33.413,-117.389,1985,10,430.56,118.71,26.91
46,CABANZO,33.867,-116.633,1985,6,5699.88,1297.62,238.86
47,SHELL,33.919,-117.784,1985,8,578.88,378.99,10.8
48,PIUMA FIRE,34.06,-118.682,1985,10,2136.78,1292.22,167.58
49,DECKER,34.071,-118.917,1985,10,2075.13,986.76,96.21
50,SHERWOOD FIRE,34.117,-118.857,1985,6,1577.97,788.94,262.44
51,BOX CANYON (PIONEER) FIRE,34.249,-118.654,1985,10,504.54,55.62,0.0
52,PEACH HILL,34.252,-118.928,1985,10,807.21,22.14,0.81
53,HUMMINGBIRD,34.284,-118.648,1985,10,981.63,285.84,6.48
54,FERNDALE,34.413,-119.149,1985,10,18912.06,3861.18,581.58
55,BLACK MOUNTAIN,34.43,-119.22,1985,7,506.07,283.95,10.98
56,WHEELER 2,34.51,-119.354,1985,7,51335.91,23819.04,11687.58
57,UNNAMED,34.54,-119.615,1985,5,1060.92,372.78,29.07
58,UNNAMED,34.604,-119.919,1985,9,1100.97,733.32,128.25
59,UNNAMED,34.814,-120.335,1985,9,450.81,312.57,2.16
60,UNNAMED,35.044,-120.056,1985,7,953.28,554.13,128.43
61,LAS PILITAS,35.287,-120.506,1985,7,30691.53,11708.37,3910.23
62,ADELAIDE,35.443,-118.777,1985,5,426.15,168.66,2.34
63,RICH BAR,35.458,-118.707,1985,6,3294.18,2081.16,4.59
64,UNNAMED,35.857,-121.391,1985,8,2940.75,1081.89,332.37
65,UNNAMED,35.861,-120.561,1985,7,614.16,457.92,61.74
66,LOWES,35.903,-120.563,1985,7,1096.65,243.45,9.45
67,BIG SANDY,35.994,-120.575,1985,7,1270.17,459.27,20.79
68,TULARE 4,36.011,-118.797,1985,7,522.81,361.8,23.04
69,WIZARD,36.024,-121.382,1985,6,3464.1,1746.27,326.88
70,ANDREWS,36.037,-120.559,1985,7,2052.81,872.55,215.46
71,CHERRY,36.065,-121.165,1985,7,16852.77,7508.61,1906.74
72,GORDA-RAT,36.066,-121.461,1985,7,19982.25,9550.98,5739.75
73,SECO,36.227,-121.44,1985,7,847.26,405.36,42.03
74,PINEY CREEK,36.348,-121.467,1985,6,645.12,206.19,62.19
75,LOSGATOSIV,36.379,-120.583,1985,7,8238.69,2425.86,335.61
76,SUGARLOAF,36.715,-118.662,1985,7,1077.93,352.17,24.39
77,ONION,36.739,-118.252,1985,7,3475.53,89.64,3.06
78,DOUGHERTY,36.959,-118.626,1985,6,670.59,298.44,189.18
79,LEXINGTON,37.141,-121.918,1985,7,4693.77,1392.39,2366.82
80,FINLEY,37.158,-121.576,1985,7,759.24,400.32,93.69
81,BRICEBURG,37.632,-119.958,1985,8,437.49,295.2,77.58
82,OWENS,37.768,-118.817,1985,8,1240.47,503.64,571.95
83,PATEVALLEY,37.93,-119.571,1985,6,436.14,139.5,164.52
84,GANN,38.095,-120.754,1985,7,407.52,277.02,56.61
85,MILLER,38.446,-122.093,1985,8,819.27,463.23,50.94
86,HIDDEN VALLEY,38.805,-122.527,1985,9,827.1,144.27,10.35
87,UNNAMED,38.859,-122.856,1985,6,3907.17,483.93,46.89
88,HAL JNCT 2,39.769,-120.013,1985,7,961.2,590.4,101.34
89,ROCK CREEK,39.851,-121.772,1985,6,472.68,256.41,53.28
90,UNNAMED,40.296,-120.069,1985,7,668.07,30.78,0.0
91,SKEDADDLE,40.305,-120.158,1985,5,549.0,63.45,0.0
92,BASS HILL,40.343,-120.52,1985,8,1009.89,53.46,3.15
93,MURRER,40.592,-120.689,1985,7,485.19,169.38,156.24
94,TRELOAR COMPLEX,40.808,-123.214,1985,7,1650.69,414.9,365.49
95,DELTA,40.956,-122.452,1985,7,670.95,133.11,440.73
96,LONG VA,39.851,-119.974,1985,7,910.89,372.42,145.08
97,BUMB,36.623,-120.979,1985,5,524.25,500.49,22.86
98,PONOCHE 2,36.727,-120.768,1985,6,3037.41,2078.82,654.57
99,BALD MT.,38.746,-122.103,1985,10,2162.25,1913.31,182.97
100,MINE,32.581,-116.768,1986,9,417.69,72.27,0.27
101,CAPTAIN,32.948,-116.747,1986,7,738.36,99.18,0.63
102,WILMOT,33.899,-117.146,1986,5,696.69,559.17,4.95
103,COLORADO 2,33.986,-114.489,1986,4,567.63,304.2,228.42
104,TECALOTE,34.26,-117.89,1986,7,1653.57,147.33,1423.26
105,BRADLEY,34.312,-119.058,1986,11,4088.25,2124.81,255.51
106,LEONA,34.629,-118.302,1986,7,412.11,198.54,149.94
107,UNNAMED,34.634,-119.892,1986,9,1778.13,940.23,49.41
108,POPPY FIRE,34.745,-118.371,1986,8,496.44,376.11,97.56
109,SUEY RANCH WEST,35.034,-120.248,1986,10,509.94,84.6,0.54
110,UNNAMED,35.04,-120.317,1986,8,547.83,156.6,1.8
111,NSCRIPTION,35.183,-117.143,1986,5,1908.0,890.91,0.0
112,RANCHITA,35.185,-120.416,1986,8,766.44,247.23,2.52
113,DERBY ACRE,35.24,-119.545,1986,7,669.87,326.07,0.63
114,BOTTCHER,36.352,-121.795,1986,11,1085.13,443.16,172.62
115,RIVER,36.378,-121.425,1986,11,1866.69,882.81,295.11
116,BRYANT CANYON,36.445,-121.277,1986,5,856.8,565.47,13.95
117,PANOCHE 2,36.659,-120.863,1986,6,629.19,350.91,30.87
118,UNNAMED,36.804,-119.283,1986,7,432.54,369.45,0.72
119,DEER,36.871,-118.936,1986,9,4434.48,1979.55,1429.74
120,SYCAMORE,36.921,-119.256,1986,7,471.24,284.67,1.62
121,CASCADE CR,37.757,-119.715,1986,7,836.55,305.55,39.96
122,FREDRICKSBURG,38.83,-119.808,1986,7,1455.57,689.22,313.02
123,WENDEL,40.377,-120.211,1986,7,663.21,201.78,0.0
124,UNNAMED,33.423,-117.483,1986,5,6629.22,6141.87,3.78
125,UNNAMED,37.656,-121.529,1986,6,1138.14,763.47,38.61
126,ASSIST 79,32.89,-117.01,1987,6,828.9,200.43,1.44
127,GRADE,33.181,-117.042,1987,10,892.71,512.73,44.55
128,PALOMAR,33.345,-116.929,1987,10,4150.62,1667.25,965.25
129,ANTELOPE,33.609,-117.221,1987,10,1311.57,398.07,7.2
130,SILVERADO,33.748,-117.524,1987,9,2585.97,1072.8,358.02
131,VERBENIA,33.894,-116.71,1987,6,559.44,3.6,0.0
132,TRUCK,34.271,-117.443,1987,5,438.66,277.02,62.64
133,PEPPERTREE CONTROLLE,34.319,-119.173,1987,11,504.09,80.1,0.18
134,JEEP,34.326,-117.177,1987,8,617.58,376.74,8.28
135,RUBY,34.594,-118.555,1987,9,4046.76,2256.66,1154.34
136,FISH,34.664,-119.152,1987,10,1639.62,801.54,330.39
137,SLU-0864,35.041,-120.347,1987,5,1435.41,51.57,1.8
138,UNNAMED,35.107,-118.752,1987,5,985.77,835.65,39.96
139,UNNAMED,35.128,-118.68,1987,9,1328.76,823.41,6.21
140,UNNAMED,35.167,-118.731,1987,9,493.65,276.12,8.46
141,PILITAS,35.365,-120.517,1987,8,428.4,300.06,31.68
142,FAY,35.765,-118.286,1987,8,4117.86,1582.29,738.09
143,UNNAMED,36.0,-121.027,1987,7,878.67,199.89,3.33
144,NUNEZ,36.233,-120.445,1987,5,640.8,259.83,3.42
145,STATECA 17,36.3,-120.29,1987,5,879.12,729.99,71.73
146,CASE,36.41,-118.794,1987,8,2009.25,898.74,638.82
147,RED MOUNTAIN,36.846,-119.391,1987,8,1761.12,1440.0,17.64
148,UNNAMED,36.899,-119.32,1987,8,919.89,372.87,126.9
149,UNNAMED,36.942,-119.219,1987,8,533.79,258.3,29.25
150,UNNAMED,37.217,-119.311,1987,6,584.28,291.96,118.08
151,GERBER,37.513,-121.355,1987,5,566.37,396.18,2.52
152,LAUREL,37.613,-118.914,1987,8,452.52,225.54,66.33
153,LOST BEAR,37.666,-119.595,1987,7,738.0,330.48,70.65
154,LARSON,37.732,-119.937,1987,8,19930.05,7645.14,7434.54
155,HAMM,37.796,-120.06,1987,8,15918.3,5738.4,7529.22
156,PAPER,37.917,-120.132,1987,8,19949.04,7263.81,8266.23
157,JARREL,37.931,-119.877,1987,9,710.19,374.76,141.93
158,FROG,38.019,-119.751,1987,6,1396.35,494.73,131.67
159,ACORN,38.789,-119.822,1987,7,2567.16,766.53,948.24
160,UNNAMED,38.958,-122.775,1987,4,722.7,188.91,0.9
161,BIG,39.041,-120.558,1987,8,424.44,174.06,166.86
162,FOUTS,39.353,-122.771,1987,9,6836.76,2760.48,1821.42
163,LAUDER,39.417,-123.075,1987,9,826.38,313.56,344.88
164,PALMER,39.449,-120.764,1987,8,863.19,307.53,371.88
165,MENDENHALL,39.542,-123.039,1987,8,21916.26,7787.43,9403.47
166,INDIAN,39.551,-120.968,1987,8,3563.37,1033.65,2093.76
167,BALLS CANYON 2,39.68,-120.062,1987,6,520.56,234.81,127.26
168,ASSIST P.N.F.,39.683,-121.077,1987,8,499.05,114.12,316.98
169,USFS 10,39.75,-120.178,1987,6,514.62,214.29,9.27
170,LAZYMAN,40.091,-122.915,1987,9,605.25,174.06,23.76
171,TRAVIS,40.092,-123.225,1987,8,4680.72,1713.78,877.86
172,CLARK,40.108,-120.305,1987,8,15860.79,5783.13,3358.62
173,FLUME,40.404,-123.339,1987,8,4935.33,1915.83,1052.28
174,WALLOW,40.448,-123.398,1987,8,1385.64,347.94,78.48
175,PEANUT,40.483,-123.2,1987,8,2455.38,1044.18,792.09
176,FRIENDLY,40.501,-123.307,1987,8,1406.34,537.57,366.48
177,COLD,40.527,-123.398,1987,8,5987.79,1785.42,580.86
178,JESSIE,40.578,-123.467,1987,8,1412.19,588.42,299.7
179,BLAKE,40.588,-123.555,1987,8,615.51,138.96,395.19
180,TRINITY,40.606,-123.388,1987,8,542.34,172.08,37.26
181,BLACKS,40.624,-120.45,1987,6,459.9,5.04,0.0
182,BEAR,40.654,-123.397,1987,8,2131.65,935.82,252.63
183,GULCH,40.658,-123.466,1987,8,2652.3,956.97,970.56
184,LOST,40.78,-121.426,1987,8,9549.45,4527.72,1462.23
185,EAST,40.837,-123.022,1987,8,4261.5,1269.36,1062.54
186,RIPSTEIN,40.902,-123.04,1987,8,1376.19,371.97,459.18
187,STRAUSE,40.993,-123.107,1987,9,2589.75,863.01,781.02
188,CHINA,41.054,-123.157,1987,8,3695.76,1425.06,937.08
189,ST.CLAIRE,41.111,-123.184,1987,8,3459.24,1325.07,299.25
190,HOTELLING,41.193,-123.289,1987,8,7129.53,2276.73,1209.24
191,DOE,41.198,-122.725,1987,8,995.22,304.83,335.16
192,GLASGOW,41.239,-123.211,1987,8,5462.37,1637.91,1486.35
193,NIELON,41.351,-123.096,1987,8,627.84,154.26,225.63
194,LIGHTNING 120 (CRANK),41.397,-121.165,1987,8,1435.77,420.12,737.73
195,YELLOW 2,41.412,-123.316,1987,8,21702.78,5832.63,3293.64
196,QUAKING,41.465,-121.322,1987,7,1787.22,1168.29,22.32
197,KING TITUS,41.638,-123.389,1987,8,28891.89,9058.77,4076.46
198,KELSEY,41.656,-123.144,1987,8,1489.95,696.15,181.8
199,LAKE,41.748,-123.18,1987,9,7453.89,1858.23,420.12
200,TEN BALD,41.756,-123.526,1987,8,7946.28,3783.33,1543.86
201,GULCH,41.758,-123.284,1987,8,4442.58,1694.61,477.54
202,BEARCAT,41.793,-122.831,1987,8,1157.13,533.88,123.21
203,CHINA,41.817,-123.274,1987,8,1189.8,430.92,190.35
204,SLATER,41.834,-123.348,1987,8,2364.66,999.81,659.52
205,ELK LICK,41.849,-123.551,1987,8,587.61,292.95,54.18
206,FORT COPPER,41.898,-123.22,1987,8,14703.48,5863.32,3721.86
207,THOMPSON,41.93,-123.394,1987,8,2086.38,767.52,209.79
208,LONGWOOD,41.997,-123.634,1987,8,2300.13,834.21,886.5
209,FERGUSONLK,32.999,-114.505,1987,5,475.2,381.69,0.09
210,ASSIST 78,32.821,-117.034,1988,9,415.26,234.45,6.12
211,UNNAMED,33.357,-116.823,1988,6,563.94,243.18,72.81
212,UNNAMED,33.446,-117.488,1988,6,914.67,5.76,0.0
213,ORTEGA,33.508,-117.605,1988,8,917.46,254.61,35.82
214,BENTON,33.604,-117.057,1988,9,553.05,36.09,0.0
215,UNNAMED,33.626,-116.734,1988,6,642.15,206.01,12.96
216,EL TORRO,33.738,-117.369,1988,12,430.11,19.71,0.0
217,STAGECOACH,33.781,-117.123,1988,9,1632.24,344.16,0.54
218,PASS,33.904,-116.837,1988,8,757.62,28.89,0.63
219,TEXAS,34.188,-117.49,1988,9,2983.23,1717.29,335.88
220,KEUHNER FIRE,34.288,-118.648,1988,9,1579.32,415.26,8.19
221,SESNON FIRE,34.311,-118.532,1988,12,1015.83,220.5,3.33
222,DIVIDE,34.354,-118.392,1988,10,1604.97,793.17,501.48
223,PIRU,34.437,-118.696,1988,9,5776.02,1426.86,26.82
224,UNNAMED,34.596,-119.873,1988,8,1905.48,132.21,0.18
225,UNNAMED,34.606,-119.713,1988,3,1451.34,741.6,37.8
226,SANTIAGO,34.916,-119.299,1988,6,657.72,10.53,0.0
227,CAMP,35.278,-120.397,1988,7,2274.3,714.78,1057.14
228,HAVILAH,35.473,-118.553,1988,8,572.58,366.66,73.89
229,TWISSLEMAN,35.479,-119.897,1988,6,738.63,498.06,14.4
230,UNNAMED,35.483,-118.713,1988,7,709.38,282.87,0.0
231,UNNAMED,35.704,-119.994,1988,7,939.42,691.56,0.54
232,UNNAMED,35.742,-120.035,1988,7,1604.25,826.02,7.65
233,BUCKEYE,36.543,-118.744,1988,10,1217.97,420.48,505.44
234,LIGHTNING9,36.689,-120.743,1988,6,1568.79,832.68,155.07
235,GARNET,36.877,-119.011,1988,8,589.23,204.39,68.85
236,OBELISK,36.878,-118.844,1988,7,2479.95,1013.94,483.39
237,SIMPSON,36.985,-118.638,1988,7,440.01,202.5,75.42
238,CLEARHOUSE,37.673,-119.88,1988,7,919.08,454.59,215.55
239,LIGHTNING 84 (STENT,37.904,-120.429,1988,6,468.27,276.21,30.24
240,PARDEE,38.27,-120.82,1988,6,623.07,385.29,69.84
241,MASON,38.279,-120.469,1988,7,1680.57,696.6,370.71
242,BRIDGE,38.338,-120.467,1988,7,2740.95,922.14,1153.35
243,MILLER,38.43,-122.094,1988,9,14465.79,4661.37,1881.18
244,BLUE RIDGE,38.615,-122.124,1988,9,2076.12,773.55,356.85
245,RIVER,38.794,-122.966,1988,8,585.99,194.22,53.01
246,RUMSEY,38.877,-122.275,1988,9,564.48,318.6,89.1
247,49R,39.244,-121.207,1988,9,14843.25,4665.06,3729.69
248,UNNAMED,39.281,-122.777,1988,11,1341.18,390.78,185.31
249,POWDERHOUSE,39.658,-122.61,1988,8,683.1,401.76,1.8
250,SADDLE,40.1,-124.086,1988,9,2122.56,682.92,371.52
251,HERMIT,40.184,-123.045,1988,9,3106.26,975.78,1221.3
252,FERN,40.657,-121.874,1988,9,2628.18,718.56,1272.42
253,BRANHAM II,40.766,-120.498,1988,8,747.9,3.96,0.0
254,BURNEY FIRE,40.867,-121.599,1988,8,1228.23,259.11,861.03
255,LIGHTNING 97 (BISON),41.245,-120.684,1988,8,1385.28,439.47,560.16
256,KLAMATH,41.612,-124.004,1988,9,2003.4,710.64,711.09
257,LINDSAY,36.212,-118.998,1988,6,406.62,358.74,46.89
258,DOGPATCH 2,32.602,-116.512,1989,7,481.05,215.46,3.51
259,UNNAMED,32.81,-116.355,1989,6,747.09,512.28,126.72
260,LAGUNA II,32.849,-114.475,1989,5,780.21,278.37,145.62
261,THING 2,32.857,-116.386,1989,7,1881.72,628.11,1003.32
262,FERGUSON,33.007,-114.502,1989,5,453.87,176.67,12.6
263,UNNAMED,33.277,-117.401,1989,7,800.37,99.18,24.48
264,UNNAMED,33.41,-117.418,1989,3,725.67,234.09,0.27
265,VAIL,33.421,-116.947,1989,7,6325.2,2398.59,3022.92
266,MATEO,33.508,-117.467,1989,10,5377.14,1958.67,1044.99
267,ORTEGA,33.634,-117.445,1989,6,3440.88,1703.25,1146.15
268,UNNAMED,33.637,-116.771,1989,6,1737.72,582.12,90.81
269,CONCORDIA,33.744,-117.402,1989,7,664.38,31.59,0.81
270,POPPET,33.828,-116.876,1989,7,501.39,234.54,49.68
271,PACIFIC,34.075,-118.994,1989,10,1285.56,297.45,3.69
272,PACY,34.404,-118.44,1989,7,567.09,285.75,45.09
273,SAN FRANCISCO,34.649,-118.384,1989,6,947.97,413.01,243.18
274,COCHEO,34.881,-120.622,1989,6,471.69,241.83,3.78
275,CHISPA,35.45,-120.549,1989,7,3994.74,1800.09,1422.45
276,MOLERO II,36.29,-121.819,1989,7,972.18,589.77,148.23
277,UNNAMED,36.361,-121.07,1989,7,754.11,0.09,0.0
278,OLIVAS II,36.569,-118.163,1989,3,497.34,49.59,2.25
279,UNNAMED,36.933,-119.122,1989,7,3484.17,1426.5,1304.1
280,BURROUGH,36.986,-119.338,1989,7,599.58,160.2,8.01
281,POWERHOUSE,37.113,-119.467,1989,7,4666.32,1907.1,441.81
282,PW3,37.77,-119.77,1989,10,698.13,37.71,23.58
283,UNNAMED,38.247,-121.901,1989,7,832.5,79.29,22.14
284,UNNAMED,38.774,-122.84,1989,6,2067.48,966.06,24.12
285,UNNAMED,39.237,-122.535,1989,8,427.86,268.83,40.68
286,LAYMAN,39.841,-120.638,1989,9,1876.05,597.06,841.32
287,RACK,40.056,-120.34,1989,7,1399.05,425.52,602.64
288,EAGLE,40.216,-120.452,1989,7,1561.05,667.98,535.32
289,UNNAMED,40.459,-122.808,1989,8,2664.81,624.24,145.71
290,WINTERS,38.552,-121.994,1989,5,420.39,413.64,0.0
291,PAINT,33.058,-117.144,1990,9,1255.86,539.46,143.55
292,MORRETTIS,33.197,-116.66,1990,6,1909.44,943.38,606.33
293,BEDFORD,33.796,-117.539,1990,6,1717.38,585.9,180.99
294,CARBON CANYON FIRE,33.967,-117.789,1990,6,2013.12,1392.75,308.97
295,PAINT,34.469,-119.784,1990,6,1927.26,1036.62,106.38
296,TEJON,35.041,-118.608,1990,8,3099.87,586.08,154.8
297,UNNAMED,35.15,-120.32,1990,9,605.88,130.23,3.87
298,STORMY,35.804,-118.526,1990,8,9373.77,2900.52,5468.13
299,AVALANCHE1,36.763,-118.599,1990,7,1036.53,355.77,285.75
300,KIRCH,36.898,-119.179,1990,7,1265.67,491.58,43.56
301,LONG GULCH,37.374,-121.529,1990,7,563.58,344.7,26.64
302,SAVAGE,37.649,-119.878,1990,8,900.72,360.09,357.39
303,STEAMBOAT,37.685,-119.702,1990,8,2066.4,629.1,568.98
304,A-ROCK,37.702,-119.786,1990,8,7194.78,2456.46,3747.33
305,COTTONWOOD COMPLEX,38.005,-120.198,1990,9,1018.98,324.9,565.65
306,EAGLE,38.961,-122.508,1990,6,1015.11,124.83,1.44
307,TOF 33,39.69,-120.067,1990,8,421.56,135.9,101.97
308,LINN/RECER/ELKHORN,39.793,-122.867,1990,8,1389.06,454.59,258.84
309,WALKER,39.989,-120.701,1990,8,454.86,150.57,228.33
310,ISLAND,40.036,-123.498,1990,9,597.06,93.87,23.67
311,CAMPBELL,40.041,-121.824,1990,8,51906.78,23962.68,7349.67
312,KINGS,40.163,-124.163,1990,8,916.29,314.46,223.38
313,MATTOLE,40.284,-124.156,1990,8,2113.92,642.6,92.61
314,RAINBOW,40.33,-124.123,1990,8,1129.14,246.24,156.06
315,FINLEY,40.339,-121.811,1990,8,8903.34,4385.97,1332.36
316,PEAKS,40.355,-123.791,1990,8,700.11,250.02,124.92
317,KANAKA,40.559,-122.549,1990,8,1222.38,493.29,335.07
318,SHINN,40.692,-120.194,1990,8,7270.38,3987.72,403.02
319,BOW,40.723,-122.263,1990,8,630.27,292.32,71.91
320,BRANHAM,40.794,-120.425,1990,8,3849.39,25.83,0.45
321,CAMPBELL,41.184,-121.31,1990,8,1943.82,378.9,1397.79
322,CROWDER MOUNTAIN,41.756,-120.549,1990,7,411.3,155.34,28.98
323,ROSS,41.792,-121.529,1990,8,1549.89,1.8,0.0
324,GRAPEVINE,36.552,-119.083,1990,10,958.41,886.68,0.27
325,BARRETT,32.617,-116.669,1991,6,510.57,156.6,0.27
326,STOCKTON,34.316,-117.604,1991,8,608.76,341.64,67.41
327,LION,34.558,-119.202,1991,10,714.78,424.17,117.72
328,ILL,37.704,-119.542,1991,9,1253.34,491.94,387.09
329,TUNNEL,37.85,-122.227,1991,10,743.85,321.3,8.91
330,FROG CREEK,37.98,-119.783,1991,9,1201.77,555.66,86.94
331,GEYSERS,38.765,-122.787,1991,10,2020.32,1027.17,414.18
332,ROCK,40.505,-123.158,1991,9,451.26,122.58,257.76
333,MANZANITA,32.749,-116.31,1992,7,442.71,278.28,46.44
334,LOVELAND,32.789,-116.73,1992,7,784.71,507.51,21.06
335,RAINBOW,33.439,-117.119,1992,9,1096.38,467.55,507.33
336,CACTUS,33.685,-116.912,1992,5,495.45,410.22,0.27
337,DEVIL,34.545,-118.671,1992,7,534.15,293.31,24.48
338,MIDDLE RIDGE,34.989,-118.657,1992,8,2169.18,377.28,79.38
339,CALL BOX,35.57,-118.59,1992,5,651.24,400.23,0.18
340,JOLON,35.92,-120.991,1992,6,639.45,354.51,99.45
341,UNNAMED,35.927,-121.214,1992,8,4141.71,1281.87,38.07
342,SLICKROCK,35.965,-121.345,1992,8,990.99,303.48,401.76
343,UNNAMED,35.98,-121.298,1992,7,838.8,249.57,0.09
344,SECO,36.22,-121.458,1992,8,1086.12,554.13,320.67
345,UNNAMED,36.265,-121.665,1992,8,409.68,130.95,173.43
346,UNNAMED,36.865,-121.201,1992,5,447.48,303.12,30.96
347,ITALIAN,37.15,-119.419,1992,8,660.96,214.11,6.3
348,SNELLING,37.457,-120.365,1992,7,895.95,784.08,86.58
349,RAINBOW,37.592,-119.078,1992,8,3143.97,871.74,850.05
350,HUNTER,37.614,-120.197,1992,5,559.44,254.88,170.64
