,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Moderate_Severity(ha),High_Severity(ha)
351,MOCCASIN,37.834,-120.297,1992,8,3693.78,2232.27,311.85
352,RUBY,38.145,-120.195,1992,9,1613.34,221.4,1346.67
353,GULCH,38.181,-120.477,1992,8,7288.92,2418.03,4037.04
354,SMUD 1,38.591,-121.067,1992,6,514.98,448.02,2.07
355,CLEVELAND,38.833,-120.432,1992,9,8838.09,1577.79,6298.38
356,UNNAMED,38.855,-121.269,1992,8,621.0,559.35,1.53
357,BORAX FIRE,38.987,-122.654,1992,9,605.07,236.43,92.52
358,LIGHTENING FIRE,39.233,-122.307,1992,9,516.06,352.71,4.05
359,VILLA,39.363,-121.514,1992,9,2842.56,2229.75,109.71
360,BURTON,39.674,-121.695,1992,9,2520.54,100.62,0.81
361,UNNAMED,40.437,-122.806,1992,8,2164.68,702.72,176.31
362,BARKER,40.61,-123.056,1992,8,2134.17,716.94,1077.57
363,FOUNTAIN,40.846,-121.852,1992,8,25231.95,4983.39,16714.17
364,MARTIN,41.259,-123.779,1992,9,536.67,173.7,82.62
365,UNNAMED,35.589,-120.206,1992,7,488.34,484.65,0.0
366,TURKEYTR,35.919,-119.434,1992,6,476.1,462.06,0.0
367,HOG 2,40.221,-122.034,1992,7,583.38,583.38,0.0
368,EAGLE,32.979,-116.748,1993,5,2340.72,215.46,16.56
369,OLD COACH,33.042,-117.014,1993,11,732.78,257.04,44.64
370,GUEJITO,33.12,-116.953,1993,10,6936.39,2224.62,1550.52
371,BODEN,33.146,-116.896,1993,5,576.54,288.18,119.97
372,GRADE,33.222,-116.439,1993,6,663.3,376.47,1.62
373,TRIBAL,33.517,-116.771,1993,10,854.19,261.0,0.18
374,ORTEGA,33.579,-117.501,1993,10,8464.05,3769.83,205.02
375,LAGUNA FIRE,33.592,-117.794,1993,10,3528.9,1542.24,542.7
376,CALIFORNIA,33.636,-117.027,1993,10,9672.48,2380.68,421.56
377,REPPLIER,33.964,-116.923,1993,11,2446.92,650.61,309.33
378,BOX SPRINGS,33.976,-117.293,1993,10,1127.43,357.84,1.17
379,MILL CREEK,34.062,-117.073,1993,10,1812.51,557.1,293.67
380,OLD TOPANGA FIRE,34.07,-118.649,1993,11,6790.77,4414.5,493.02
381,GREEN MEADOWS,34.114,-118.977,1993,10,15423.3,5877.54,412.29
382,KINNELOA,34.196,-118.09,1993,10,2239.74,1388.16,77.04
383,CHATSWORTH FIRE,34.257,-118.632,1993,10,789.12,253.44,0.0
384,STECKEL,34.382,-119.153,1993,10,10602.18,1042.56,15.39
385,WHEEL,34.514,-119.304,1993,10,591.3,462.42,31.05
386,STODDARD 4,34.698,-117.123,1993,7,1009.17,648.99,5.31
387,MARRE,34.725,-119.957,1993,9,17931.33,6038.64,1557.18
388,CASMALIA,34.845,-120.563,1993,6,351.27,203.04,28.26
389,SABODAN,35.025,-119.023,1993,5,789.39,310.5,6.57
390,OPAL 2,35.177,-117.148,1993,8,3338.37,2117.88,5.22
391,UNNAMED,35.223,-119.496,1993,5,1244.43,692.01,1.53
392,VALLEY,35.246,-119.536,1993,6,1534.59,1103.4,3.51
393,ELK HILLS 2,35.328,-119.569,1993,5,2175.66,1854.99,7.47
394,UNNAMED,35.481,-120.267,1993,6,580.41,504.18,4.59
395,UNNAMED,35.548,-118.974,1993,8,750.51,605.79,22.95
396,ORCHARD,35.74,-120.074,1993,6,9029.88,5508.99,244.71
397,PIXLEY,35.922,-119.365,1993,6,544.59,420.93,5.13
398,UNNAMED,35.991,-119.988,1993,9,474.66,380.79,20.79
399,UNNAMED,36.06,-120.096,1993,8,419.04,342.72,14.49
400,PGE 13,36.077,-120.129,1993,5,643.86,535.41,22.77
401,RANCHO,36.3,-121.448,1993,8,2251.26,1168.11,757.44
402,METZ,36.43,-121.201,1993,6,617.13,430.29,11.25
403,PGE 4,36.918,-120.851,1993,7,2263.41,1378.8,157.95
404,OTAY,32.604,-116.925,1994,10,902.88,669.69,7.2
405,ROCOSO,32.892,-116.98,1994,1,902.97,23.76,0.0
406,SECOND,33.182,-116.832,1994,6,2164.41,1458.99,96.03
407,BAILEY,33.448,-116.665,1994,6,2869.2,2114.55,481.23
408,PALM,33.641,-116.522,1994,7,8513.82,4660.47,805.14
409,FAIRVIEW,33.692,-116.867,1994,6,677.34,426.51,2.25
410,UNNAMED,33.706,-116.804,1994,6,636.3,367.11,18.27
411,GILMAN,33.82,-116.947,1994,6,859.68,544.41,56.34
412,GILMAN,33.929,-117.074,1994,7,874.35,647.37,3.6
413,DEVILS,34.337,-117.102,1994,7,5169.51,2234.7,84.33
414,SCOUT,34.39,-117.642,1994,6,1411.74,724.77,212.4
415,SHOOTING,34.46,-118.045,1994,6,1655.64,741.96,12.42
416,UNNAMED,34.619,-119.688,1994,6,730.35,411.57,22.41
417,OAK HILL,34.731,-120.446,1994,10,803.88,222.21,65.7
418,ALISO,34.909,-119.729,1994,7,1378.35,133.2,0.0
419,SPANISH,35.004,-119.936,1994,9,1322.46,852.21,201.87
420,OPAL 2,35.155,-117.112,1994,8,590.22,152.1,0.0
421,SODA,35.206,-119.917,1994,5,1385.37,24.12,0.0
422,FORT PIUTE,35.259,-115.023,1994,6,2569.59,1400.49,0.18
423,BRECKENRIDGE,35.376,-118.805,1994,5,990.18,787.32,14.85
424,41,35.392,-120.683,1994,8,19603.26,7647.57,9519.48
425,UNNAMED,35.427,-120.031,1994,7,1176.66,745.11,0.54
426,LUCAS COMPLEX,35.481,-118.691,1994,6,3695.31,1959.66,8.91
427,UNNAMED,35.593,-120.388,1994,6,642.78,320.4,0.0
428,LAKELAND,35.642,-118.442,1994,6,1100.07,751.32,4.41
429,WHITE BLANKET,35.747,-118.177,1994,6,1037.43,721.8,52.29
430,YORK,35.851,-120.179,1994,6,414.9,325.8,19.53
431,BASHAM,35.904,-120.716,1994,6,541.08,200.25,1.44
432,PINNACLES,36.467,-121.205,1994,8,457.38,317.79,2.88
433,BIG CREEK,37.214,-119.273,1994,8,2186.19,767.34,867.96
434,MT. STAKES,37.324,-121.428,1994,10,595.53,173.43,47.07
435,WHEEL 1  2,37.641,-121.472,1994,8,599.67,288.0,0.0
436,HORIZON,37.655,-119.536,1994,8,1222.65,543.24,109.35
437,COPPER 8,37.988,-120.631,1994,6,708.57,510.57,14.04
438,CREEK,38.066,-120.334,1994,8,604.98,249.93,290.97
439,UNNAMED,38.608,-121.191,1994,7,704.16,213.03,4.5
440,KELSEY,38.813,-120.801,1994,8,404.28,110.16,231.93
441,HIRSCHDALE,39.399,-120.065,1994,8,515.7,229.77,93.15
442,CRYSTAL,39.517,-120.037,1994,8,2962.26,833.31,1813.41
443,TABLE,39.549,-121.572,1994,6,490.41,371.88,5.85
444,COTTONWOOD,39.601,-120.193,1994,8,19387.89,4730.49,9457.83
445,SUGARFOOT,39.883,-122.79,1994,8,1121.49,426.96,190.98
446,DOYLE,40.014,-120.136,1994,6,836.82,267.57,123.12
447,BARKLEY,40.12,-121.756,1994,9,17909.91,2517.03,1227.15
448,BROWNS,40.721,-122.863,1994,7,720.0,124.29,501.84
449,LMU LGT66,40.755,-120.623,1994,9,856.08,320.13,154.71
450,TABLE,41.254,-120.433,1994,7,894.06,109.26,714.15
451,NELSON,41.272,-120.447,1994,8,1067.13,199.17,777.6
452,SPECIMEN,41.363,-123.151,1994,9,2896.56,790.74,1193.67
453,JACK 1,41.623,-123.61,1994,7,10470.33,3806.19,2064.24
454,BEAR,41.724,-123.546,1994,7,687.24,212.13,250.38
455,HALLELUJAH,39.809,-119.966,1994,7,460.35,194.94,17.64
456,UNNAMED,34.305,-117.18,1994,8,422.91,410.13,10.35
457,FOREST GATE,32.592,-116.489,1995,7,493.92,352.8,89.64
458,SYCAMORE,32.607,-116.727,1995,8,3946.59,2109.33,1623.15
459,SYCAMORE,32.91,-117.014,1995,7,865.53,516.96,76.23
460,EL MONTE,32.914,-116.782,1995,8,3433.32,2063.07,996.3
461,BUTTERFIELD,32.941,-116.431,1995,6,2900.25,1911.24,180.54
462,POWAY,32.973,-116.95,1995,8,704.43,422.01,231.12
463,WARNER,33.339,-116.725,1995,10,1082.43,396.72,555.48
464,STANLEY,33.541,-116.876,1995,7,1367.64,1206.9,50.85
465,NICHOLS,33.721,-117.353,1995,7,450.54,302.13,7.56
466,DAWSON,33.762,-117.425,1995,7,1884.06,1317.15,30.51
467,APACHE,33.888,-116.698,1995,9,1475.91,571.77,5.76
468,EXCELSIOR,33.945,-116.742,1995,6,827.91,532.08,23.76
469,HWY 62,33.955,-116.617,1995,7,484.02,350.82,0.0
470,RECHE,33.989,-117.245,1995,7,474.84,168.75,28.35
471,VERBENIA,34.001,-116.674,1995,8,8742.69,4728.51,470.16
472,PILGRIM,34.006,-117.212,1995,7,895.41,167.49,8.82
473,BLUFF,34.007,-116.946,1995,10,1080.63,409.41,353.79
474,LOST LAKE,34.02,-114.462,1995,6,864.09,390.96,339.66
475,COVINGTON,34.057,-116.3,1995,7,2207.97,1038.69,0.0
476,CROWDER,34.329,-117.471,1995,7,533.16,291.06,178.2
477,FREEWAY FIRE NO II,34.442,-118.38,1995,10,483.93,96.39,0.0
478,LOPEZ,34.985,-118.482,1995,7,659.07,231.84,36.63
479,ELK,35.028,-119.506,1995,6,733.05,612.0,27.9
480,UNNAMED,35.073,-120.299,1995,9,778.32,53.91,0.36
481,BALD,35.122,-120.335,1995,10,1349.82,693.54,41.22
482,KELLER,35.152,-118.547,1995,8,460.08,96.75,15.12
483,HONOLULU,35.248,-119.521,1995,8,1257.21,8.73,0.0
484,SIMMLER,35.271,-119.974,1995,6,490.5,322.65,0.0
485,MIDWAY,35.326,-119.502,1995,8,3150.36,451.62,0.09
486,ROCKY,35.481,-118.751,1995,7,743.58,663.93,8.46
487,46,35.624,-119.789,1995,6,1883.88,1614.06,77.85
488,SHERWOOD,35.628,-119.052,1995,5,487.98,428.58,27.0
489,GILBREATH,35.688,-119.611,1995,7,554.49,411.12,92.25
490,NEES,36.845,-120.804,1995,5,468.63,374.58,59.67
491,ORESTIMBA,37.301,-121.316,1995,10,1144.08,239.49,10.08
492,POLE,37.38,-118.613,1995,6,1649.25,1359.36,117.72
493,PEORIA,37.926,-120.503,1995,7,1414.89,879.12,12.24
494,VISION,38.05,-122.864,1995,10,4897.35,1109.34,274.68
495,GUNTLEY,39.207,-123.103,1995,10,950.58,346.68,88.83
496,HWY 149,39.556,-121.64,1995,10,797.49,574.38,35.91
497,PONY,41.63,-123.577,1995,8,886.32,251.64,248.13
498,OTAY 322,32.592,-116.871,1996,10,4118.85,1866.69,1573.02
499,HONEY,32.683,-116.806,1996,1,1285.11,961.56,274.23
500,HARMONY,33.095,-117.191,1996,10,3772.71,1554.57,535.59
501,SHEEP,33.374,-116.518,1996,4,544.41,233.37,64.71
502,DIEGO,33.588,-116.784,1996,7,479.79,162.27,259.92
503,DOUBLE,33.729,-117.118,1996,8,551.97,364.95,3.96
504,BEE,33.758,-116.821,1996,6,4093.29,1989.54,803.97
505,WOLFSKILL,33.856,-116.943,1996,8,5264.46,3070.17,953.1
506,PHILADELPHIA,34.032,-117.465,1996,7,737.28,54.36,0.09
507,CALABASAS,34.054,-118.717,1996,10,3219.66,1227.42,425.97
508,RESERVOIR,34.196,-117.879,1996,8,619.47,411.3,176.13
509,BICHOTA COMPLEX (BICHOTA),34.274,-117.824,1996,6,466.92,295.47,129.15
510,GRAND,34.426,-118.98,1996,4,4241.52,1963.71,89.82
511,BARSTOW,34.575,-117.018,1996,5,427.95,48.78,0.0
512,MARPLE,34.586,-118.663,1996,8,8262.63,3848.76,1556.73
513,GORGE,34.592,-118.773,1996,7,694.62,458.28,138.78
514,WASIOJA,34.919,-119.806,1996,7,1209.6,601.47,377.82
515,CUYAMA,34.92,-119.672,1996,7,673.47,484.56,34.56
516,WHITEOAK,34.948,-118.473,1996,7,3400.56,207.9,23.04
517,WESTFIELD,35.023,-119.377,1996,10,598.14,1.62,0.0
518,UNNAMED,35.14,-119.794,1996,6,649.35,533.07,64.89
519,OVERLOOK,35.209,-119.91,1996,5,1173.96,1066.59,6.84
520,SEVEN MILE,35.262,-119.86,1996,5,1099.89,842.94,3.6
521,FIFTY-EIGHT,35.344,-120.276,1996,8,38325.15,19011.6,7145.82
522,AIRPORT 2,35.352,-119.547,1996,8,428.4,349.47,0.45
523,MESA COMPLEX,35.396,-118.884,1996,5,2221.83,1413.18,329.04
524,CANYON,35.435,-118.761,1996,6,1409.58,1079.55,174.33
525,UNNAMED,35.438,-117.316,1996,6,433.89,1.62,0.0
526,ROUND MOUNTAIN,35.479,-118.909,1996,6,1014.21,712.26,225.0
527,BOREL,35.589,-118.564,1996,8,1116.81,510.03,31.86
528,GILBRETH,35.674,-119.596,1996,7,1896.66,1488.06,91.35
529,GOOSE,35.705,-119.635,1996,7,674.91,544.68,57.87
530,SIERRA,35.763,-118.406,1996,6,464.04,254.25,0.27
531,HWY 33 II,35.807,-120.016,1996,5,1357.56,1072.44,3.06
532,HWY 41,35.901,-119.999,1996,5,2110.77,1621.17,206.46
533,UNNAMED,35.952,-121.278,1996,5,6030.0,2524.95,292.23
534,WILD,35.959,-121.388,1996,10,9891.54,3224.97,2538.99
535,SKYLINE,36.0,-120.041,1996,4,8778.96,6547.95,484.74
536,CHOLOLLO,36.063,-118.664,1996,8,1153.98,469.44,268.29
537,SAGE FLAT,36.222,-118.047,1996,7,587.07,345.78,51.3
538,SUR,36.259,-121.739,1996,10,1704.42,625.23,224.82
539,KAWEAH,36.493,-118.866,1996,8,1857.69,674.73,292.77
540,PANOCHE II,36.575,-120.627,1996,4,5971.41,3786.84,435.42
541,PANOCHE,36.631,-120.678,1996,4,694.62,275.49,1.26
542,MERCY,36.863,-120.824,1996,6,6876.81,3622.59,2373.93
543,TRIMMER,36.893,-119.346,1996,8,2304.36,1601.73,62.28
544,UNNAMED,36.964,-120.904,1996,5,439.47,299.61,60.21
545,STUMPFIELD,37.426,-119.817,1996,8,1192.77,487.44,196.29
546,ROGGE,37.899,-120.113,1996,8,7106.58,3593.34,1348.74
547,ACKERSON COMPLEX (ACKERSON),37.913,-119.818,1996,8,23518.44,10962.36,6666.3
548,LIGHTNING 12,38.014,-120.573,1996,8,495.63,283.41,46.26
549,RIMROCK,38.305,-120.431,1996,8,1092.15,587.34,275.04
550,PGE 8,38.349,-122.452,1996,8,940.05,353.34,246.15
551,GATES,38.395,-122.055,1996,10,612.54,151.65,1.08
552,SCOTT,38.565,-121.047,1996,8,3572.1,1578.24,1821.15
553,WALKER COMPLEX,38.582,-119.529,1996,7,1050.3,465.66,373.86
554,UNNAMED,38.829,-121.973,1996,10,1165.86,751.77,230.94
555,FORK,39.202,-122.744,1996,8,33670.17,11879.19,13740.84
556,PALERMO,39.357,-121.511,1996,10,470.79,201.06,233.01
557,MADALANNA,39.85,-120.248,1996,7,1820.16,989.37,232.83
558,ROCK,40.189,-123.009,1996,8,845.01,204.84,24.48
559,COOKS,40.195,-120.84,1996,8,514.62,130.14,291.96
560,BYERS,40.342,-120.458,1996,7,477.0,178.11,157.68
561,DIXIE FIRE,40.857,-120.921,1996,8,536.13,124.29,276.93
562,AMBROSE COMPLEX (DAMON-LONG),41.555,-121.25,1996,8,9748.71,1212.3,63.9
563,DALTON 3,41.748,-121.063,1996,8,1184.13,273.42,7.47
564,HORSE,41.906,-121.286,1996,8,1052.46,437.04,2.97
565,AUTUMN HILLS,38.935,-119.858,1996,6,38.07,15.66,5.85
566,RINCON,33.258,-116.96,1996,10,921.6,905.31,5.76
567,PECHANGA,33.461,-117.081,1996,6,595.89,254.97,334.89
568,DRIP,33.47,-116.966,1996,6,481.5,419.49,58.32
569,UNNAMED,33.89,-117.147,1996,5,439.2,385.2,51.48
570,CIRCLE,33.895,-116.925,1996,6,419.31,207.63,203.58
571,KITCHING,33.961,-117.201,1996,6,552.24,467.64,84.24
572,DEL DIOS,33.084,-117.13,1997,9,488.7,222.93,178.29
573,MARGARITA,33.447,-117.298,1997,9,453.6,220.05,85.68
574,PAUBA,33.522,-116.943,1997,8,3036.6,533.52,2.16
575,BAKER,33.776,-117.683,1997,10,2556.72,355.86,11.61
576,SCOTCH,34.027,-117.238,1997,8,610.38,396.9,1.89
577,HEMLOCK,34.17,-117.211,1997,7,1657.26,707.13,125.37
578,MILL,34.193,-117.14,1997,9,553.41,203.4,230.4
579,CANYON 2,34.195,-117.908,1997,7,2093.58,973.62,48.6
580,NARROWS,34.331,-117.71,1997,8,7385.22,4040.1,1502.82
581,HOPPER,34.476,-118.816,1997,8,9743.49,3852.81,2049.84
582,RANGE,34.584,-120.285,1997,9,519.12,80.1,13.59
583,SANTA ROSA,34.634,-120.33,1997,8,1145.97,743.13,149.49
584,HALOWEEN,34.706,-120.577,1997,10,467.37,238.5,54.18
585,AZALEA,34.71,-120.494,1997,9,552.96,189.9,86.13
586,UNNAMED,34.8,-119.676,1997,5,475.47,115.11,41.76
587,LOGAN,35.113,-120.103,1997,8,20084.94,4698.9,1268.82
588,MIDWAY COMPLEX,35.226,-119.522,1997,6,2748.33,1368.0,823.14
589,COTTONWD 2,35.398,-118.769,1997,5,984.42,609.48,311.67
590,CHOCKTAW,35.459,-118.879,1997,8,4141.62,2821.77,992.7
591,POSO,35.525,-118.997,1997,8,914.85,528.03,358.47
592,GRANITE,35.537,-118.953,1997,5,585.09,405.99,167.13
593,JACKS,35.623,-118.088,1997,8,2160.18,785.07,928.98
594,TOWER,35.69,-118.412,1997,7,620.73,502.83,3.96
595,UNNAMED,35.721,-120.017,1997,6,481.05,267.93,83.97
596,UNNAMED,35.981,-119.974,1997,6,436.68,332.73,56.52
597,COFFEE,36.162,-118.758,1997,9,910.17,528.12,217.08
598,UNNAMED,36.297,-121.132,1997,5,737.1,539.37,0.81
599,CHOKE,36.852,-118.712,1997,8,1390.95,435.96,692.82
600,GROVE,36.924,-119.714,1997,5,607.5,479.52,10.89
601,ASPEN VALLEY,37.822,-119.786,1997,10,723.69,305.37,143.91
602,KIBBIE 2,38.031,-119.841,1997,9,1003.68,494.73,65.25
603,WILLIAMS,39.377,-121.252,1997,9,2562.21,919.35,763.29
604,BEACH,33.899,-117.151,1997,5,680.67,658.26,20.52
605,JACK RABBIT,33.937,-117.071,1997,9,677.43,665.82,11.61
606,AMERICAN,35.187,-119.896,1997,9,652.05,233.55,416.61
607,SUMMIT,32.605,-116.733,1998,7,423.09,122.49,7.11
608,WILDCAT,32.968,-116.851,1998,8,1464.84,825.39,49.77
609,UNNAMED,33.333,-117.394,1998,7,692.55,523.62,10.35
610,UNNAMED,33.425,-117.454,1998,7,773.46,94.5,0.0
611,JUNIPER,33.769,-117.08,1998,8,2608.29,555.21,0.18
612,WEIRICK,33.814,-117.483,1998,8,1010.25,848.07,39.42
613,EDNA,33.896,-116.995,1998,10,11151.36,7184.7,2421.27
614,TAYLOR,33.982,-117.022,1998,10,823.86,619.65,123.12
615,COUNTRY,34.027,-117.483,1998,8,543.87,388.89,0.27
616,STALLION FIRE,34.028,-117.243,1998,7,421.11,277.2,1.35
617,PIRU,34.422,-118.872,1998,10,4213.98,1407.15,177.66
618,UNNAMED,34.566,-119.689,1998,10,786.51,247.77,20.52
619,OGILVY,34.613,-119.625,1998,10,1637.55,773.1,562.86
620,GARLOCK 2,35.363,-117.793,1998,8,621.27,200.88,0.0
621,BRECK,35.371,-118.787,1998,7,1405.98,758.43,591.66
622,BRECKENRIDGE,35.407,-118.791,1998,9,540.09,386.01,90.0
623,AERA,35.548,-118.974,1998,7,834.21,710.55,84.51
624,UNNAMED,35.689,-119.609,1998,8,707.13,563.76,102.96
625,UNNAMED,35.814,-120.797,1998,6,3621.78,626.67,9.99
626,UNNAMED,35.933,-121.17,1998,8,2162.07,620.46,11.61
627,UNNAMED,35.988,-119.979,1998,8,644.31,551.52,64.71
628,UNNAMED,35.988,-121.299,1998,7,1157.76,440.46,65.7
629,UNNAMED,36.027,-120.105,1998,7,726.66,549.63,5.76
630,STONEWALL,36.471,-121.152,1998,8,1203.66,739.89,206.55
631,MERCY,36.882,-120.813,1998,7,2024.82,1174.68,594.27
632,TOM,37.322,-118.618,1998,8,1362.06,675.09,379.89
633,580,37.728,-121.663,1998,8,448.2,227.25,4.14
634,ASPEN PW 2,37.807,-119.799,1998,10,1218.69,330.75,7.83
635,GREENRIDGE 6,37.831,-121.716,1998,5,593.82,209.7,218.97
636,MIDDLE,38.931,-122.296,1998,8,2583.9,1201.77,168.21
637,MANTON 3,40.368,-122.005,1998,8,558.0,325.62,0.36
638,POWERHOUSE,40.411,-121.899,1998,8,690.21,351.9,3.69
639,COYOTE,41.139,-123.879,1998,8,738.09,35.73,3.51
640,NORTH CROWDER,41.762,-120.552,1998,8,1047.51,143.91,0.99
641,BEALE ASSIST,39.148,-121.403,1998,9,523.53,240.75,12.87
642,GLORIA,32.589,-116.443,1999,10,213.66,136.44,0.99
643,SHOCKEY,32.608,-116.406,1999,10,1416.33,939.24,9.63
644,PROCTOR,32.692,-116.918,1999,9,626.4,254.16,3.69
645,LAGUNA 100,32.896,-116.425,1999,8,2079.54,885.06,270.99
646,LA JOLLA,33.273,-116.792,1999,9,2926.53,859.59,1640.7
647,MIXING,33.68,-116.721,1999,8,1444.68,571.59,628.83
648,PINE,33.859,-116.809,1999,8,769.32,228.06,446.22
649,JUNIPER COMPLEX (FIRE #3),34.011,-116.228,1999,5,5587.2,1045.53,0.0
650,JUNIPER COMPLEX (JUNIPER),34.035,-116.329,1999,6,741.06,403.11,0.0
651,BRIDGE,34.239,-117.866,1999,8,2769.57,1116.09,1209.15
652,BRADLEY,34.312,-119.042,1999,12,1317.15,69.93,1.26
653,ELLIOT,34.336,-117.413,1999,7,931.77,655.02,11.79
654,WILLOW,34.345,-117.106,1999,8,25708.05,12219.48,1954.71
655,TURTLE,34.375,-117.53,1999,7,1533.24,1119.78,30.06
656,RANCH,34.457,-119.153,1999,12,1623.6,797.22,385.56
657,HOLSER,34.461,-118.728,1999,7,1023.48,103.86,4.14
658,SHANNON,34.552,-118.186,1999,8,1438.65,1206.63,26.28
659,UNNAMED,34.89,-118.921,1999,7,430.11,22.05,0.09
660,SPANISH,35.021,-119.983,1999,7,5606.28,1940.31,1856.16
661,RICH BAR COMPLEX,35.451,-118.767,1999,9,892.89,575.91,7.65
662,KIRK COMPLEX (HARE),36.054,-121.464,1999,9,17422.38,9087.93,4277.25
663,KIRK COMPLEX (FIVE),36.279,-121.625,1999,9,14632.29,6100.38,5020.38
664,WATTS,36.79,-119.472,1999,7,518.67,461.16,32.31
665,DIVISION,36.937,-118.288,1999,3,1339.29,218.34,1.53
666,ROMERO,37.107,-121.097,1999,6,753.03,683.19,13.32
667,PILOT,37.845,-119.984,1999,8,1551.69,430.92,960.84
668,NORTH PARK COMPLEX (ELEANOR),38.008,-119.84,1999,8,1010.25,466.11,90.9
669,HIRAM,38.442,-119.912,1999,8,1141.65,405.54,213.12
670,SIXTEEN,38.803,-122.328,1999,10,15034.23,7370.91,674.28
671,RUMSEY,38.881,-122.256,1999,9,1246.68,720.99,90.72
672,PENDOLA,39.419,-121.197,1999,10,3116.79,716.4,1582.47
673,PENDOLA,39.461,-121.114,1999,10,1636.56,476.1,912.42
674,SOUTH,39.532,-121.414,1999,8,871.47,432.9,120.06
675,FRRD COMPLEX (BEAN),39.628,-121.299,1999,8,775.08,406.17,251.73
676,BLOOMER,39.645,-121.476,1999,8,1138.14,659.25,229.59
677,FRRD COMPLEX (DEVILS GAP),39.707,-121.037,1999,8,628.47,219.51,248.49
678,DOE MILL,39.757,-121.715,1999,8,4689.81,1058.49,9.54
679,CEMETERY,39.815,-120.088,1999,9,1520.28,978.03,214.47
680,MHRD COMPLEX (PIGEON),39.834,-121.021,1999,8,1946.52,874.62,461.16
681,MUSTY,39.837,-121.749,1999,8,6814.98,2123.73,97.65
682,MHRD COMPLEX (LOOKOUT),39.849,-121.094,1999,8,1066.14,455.94,276.75
683,MHRD COMPLEX (BUCKS),39.885,-121.313,1999,8,13944.33,6086.25,4337.37
684,MHRD COMPLEX (HORTON 2),39.891,-120.338,1999,8,1640.79,576.0,551.61
685,PELLOWS,39.936,-122.61,1999,7,471.24,182.34,16.65
686,RED,40.107,-122.425,1999,6,664.29,365.67,143.55
687,GUN 2,40.179,-121.804,1999,9,24764.76,10788.21,4075.02
688,TEHAMA-GLENN COMPLEX (DEHAVEN GULCH),40.284,-121.945,1999,8,6978.24,4111.65,162.81
689,INKS,40.296,-122.14,1999,8,2469.33,1314.81,4.95
690,JELLYS 2,40.304,-122.195,1999,8,689.31,187.65,0.0
691,UNNAMED,40.35,-122.053,1999,6,501.84,225.0,0.36
692,SPRING,40.384,-122.095,1999,8,2669.76,1501.65,0.27
693,CANYON,40.461,-122.408,1999,9,1046.52,248.04,17.01
694,WILLOW,40.599,-120.63,1999,8,2889.27,539.01,85.32
695,JONES,40.652,-122.228,1999,10,10851.93,2188.71,670.95
696,LOWDEN,40.693,-122.816,1999,7,750.33,195.84,385.56
697,BOHEMOTASH,40.786,-122.446,1999,8,2308.05,956.97,350.1
698,RAVE,40.8,-120.101,1999,8,1973.25,1312.29,98.55
